,superficie,time_ctrl,PRECIPITACION,time_ext,SOL,personal,RACHA,lng,lat,Año,TMAX,medios,PRES_RANGE
122,1.3,2.0,0,2.0,10.6,13,10.3,-8.463079,43.30714,2001,24.5,3,1.39999999999998
123,1.0,2.2,0,2.2,10.6,25,10.3,-8.237342,43.513472,2001,24.5,4,1.39999999999998
124,1.57,2.5,0,2.5,7.5,31,11.9,-9.007319,42.642678,2001,24.0,2,6.69999999999993
125,1.0,3.35,0,3.35,7.5,6,11.9,-8.219855,43.567613,2001,24.0,2,6.69999999999993
126,2.7,2.55,0,2.55,7.5,11,11.9,-8.176841,43.562647,2001,24.0,1,6.69999999999993
127,3.0,3.35,1,3.35,10.7,16,12.2,-8.256512,43.229093,2001,23.4,2,2.40000000000009
128,1.35,2.2,1,2.2,10.7,11,12.2,-8.81752,42.903258,2001,23.4,1,2.40000000000009
129,1.0,1.25,1,1.25,6.2,6,10.0,-8.137555,43.515554,2001,21.4,1,4.59999999999991
130,3.5,1.53,0,1.53,12.2,24,6.1,-9.149947,43.080238,2001,21.4,4,3.69999999999993
131,2.5,1.55,1,1.55,0.9,11,13.3,-8.741116,43.026913,2001,24.5,2,5.70000000000005
132,1.2,2.0,1,2.0,0.9,10,13.3,-9.036306,43.191468,2001,24.5,1,5.70000000000005
133,2.7,2.4,1,2.4,0.9,13,13.3,-8.442185,43.266033,2001,24.5,2,5.70000000000005
134,2.0,1.55,0,1.55,11.1,16,9.7,-8.570143,42.791858,2001,21.5,2,6.0
135,3.5,1.3,0,1.3,12.7,22,13.3,-8.91086,42.673902,2001,23.3,3,1.30000000000007
136,1.4,3.15,0,3.15,12.7,10,13.3,-8.833016,43.124887,2001,23.3,2,1.30000000000007
137,1.4,2.2,0,2.2,12.8,22,6.7,-8.670253,43.240732,2001,26.4,4,3.29999999999995
138,1.5,2.15,0,2.15,12.8,21,6.7,-9.204368,43.076461,2001,26.4,5,3.29999999999995
139,2.0,2.1,0,2.1,12.8,27,6.7,-8.664463,42.837542,2001,26.4,5,3.29999999999995
140,1.22,1.1,0,1.1,12.8,11,6.7,-8.862045,42.95347,2001,26.4,2,3.29999999999995
141,3.0,2.2,0,2.2,12.8,24,6.7,-8.589146,42.802734,2001,26.4,4,3.29999999999995
142,2.0,3.55,0,3.55,12.9,11,8.3,-8.237342,43.513472,2001,22.2,2,3.5
143,3.7,4.1,0,4.1,12.9,10,8.3,-8.237342,43.513472,2001,22.2,1,3.5
144,8.0,2.4,0,2.4,12.9,29,8.3,-8.589146,42.802734,2001,22.2,5,3.5
145,6.5,3.45,0,3.45,12.9,22,8.3,-8.833016,43.124887,2001,22.2,3,3.5
146,1.0,1.1,1,1.1,12.0,6,8.9,-8.254843,43.034146,2001,24.4,1,5.59999999999991
147,1.0,2.4,1,2.4,12.0,17,8.9,-8.237342,43.513472,2001,24.4,3,5.59999999999991
148,1.5,2.45,1,2.45,12.0,31,8.9,-8.802512,42.780977,2001,24.4,5,5.59999999999991
149,1.0,1.25,0,1.25,7.9,23,8.6,-9.026022,42.53267,2001,22.6,3,2.60000000000002
150,1.5,2.35,0,2.35,7.9,21,8.6,-9.268711,42.904709,2001,22.6,3,2.60000000000002
151,1.5,1.25,0,1.25,7.9,16,8.6,-8.336163,43.115375,2001,22.6,1,2.60000000000002
152,1.0,1.05,1,1.05,5.1,6,8.9,-9.179648,43.045481,2001,19.6,1,8.10000000000002
153,1.5,2.4,1,2.4,5.1,13,8.9,-8.256512,43.229093,2001,19.6,2,8.10000000000002
154,2.0,1.25,0,1.25,9.9,26,6.7,-8.833016,43.124887,2001,23.2,3,5.79999999999995
155,1.0,2.0,0,2.0,6.6,11,6.4,-8.367323,43.100946,2001,26.2,1,4.0
156,1.04,3.0,0,3.0,6.6,6,6.4,-9.096309,42.85849,2001,26.2,1,4.0
157,1.0,2.1,0,2.1,6.6,16,6.4,-9.154093,42.935457,2001,26.2,2,4.0
158,1.0,2.3,1,2.3,3.9,17,15.6,-9.082862,42.917476,2001,22.6,2,1.70000000000005
159,3.0,3.1,1,3.1,3.9,22,15.6,-9.006419,43.141956,2001,22.6,3,1.70000000000005
160,1.2,1.1,1,1.1,3.9,11,15.6,-9.076537,43.16157,2001,22.6,2,1.70000000000005
161,2.0,2.1,1,2.1,3.9,16,15.6,-8.648783,42.786588,2001,22.6,3,1.70000000000005
162,1.0,1.05,0,1.05,9.7,6,16.9,-9.076537,43.16157,2001,22.2,1,3.70000000000005
163,1.0,2.05,0,2.05,9.7,17,16.9,-8.950453,42.732381,2001,22.2,2,3.70000000000005
164,1.0,1.0,0,1.0,10.9,17,9.7,-8.801955,43.294596,2001,24.4,2,3.29999999999995
165,1.2,1.3,0,1.3,10.9,11,9.7,-9.058135,43.123248,2001,24.4,2,3.29999999999995
166,1.0,0.4,0,0.4,11.0,5,12.2,-8.976199,42.584255,2001,20.5,1,4.39999999999998
167,4.0,3.55,0,3.55,11.0,33,12.2,-8.833016,43.124887,2001,20.5,3,4.39999999999998
168,1.0,3.0,0,3.0,11.0,1,12.2,-8.789613,43.137621,2001,20.5,3,4.39999999999998
169,1.77,2.05,0,2.05,11.0,11,12.2,-9.119204,42.97541,2001,20.5,2,4.39999999999998
170,4.0,2.05,0,2.05,9.1,16,13.3,-9.004175,42.695928,2001,21.1,1,1.60000000000002
171,2.0,1.4,0,1.4,9.1,11,13.3,-8.999427,42.607448,2001,21.1,2,1.60000000000002
172,1.8,2.35,0,2.35,9.1,11,13.3,-8.926821,43.068876,2001,21.1,2,1.60000000000002
173,3.0,2.15,0,2.15,9.1,10,13.3,-9.133139,43.090515,2001,21.1,1,1.60000000000002
174,1.5,1.35,0,1.35,10.7,18,13.6,-8.073961,42.863547,2001,23.4,2,2.0
175,1.1,1.55,0,1.55,10.7,11,13.6,-8.495562,43.291593,2001,23.4,3,2.0
